1	Beijing	1	39.86	116.412	17400000	21
2	Shanghai	1	31.224	121.466	16738000	19
3	Bangalore	2	12.963	77.587	6200000	20
4	Mumbai	2	18.96	72.819	12778721	4
5	Osaka	3	34.652	135.485	8817166	25
6	Tokyo	3	35.623	139.703	12369000	33
7	Antwerp	4	51.212	4.393	461496	41
8	Brussels	4	50.845	4.338	1830000	49
9	London	5	51.503	-0.145	7287555	1
10	Manchester	5	53.47	-2.237	2240230	3
11	Nice	6	43.709	7.266	347100	5
12	Paris	6	48.844	2.355	11174000	7
13	Berlin	7	52.527	13.402	5000000	9
14	Frankfurt	7	50.097	8.678	5600000	11
15	Munich	7	48.142	11.578	5203738	13
16	Milan	8	45.438	9.178	1310320	15
17	Rome	8	41.879	12.473	2743796	17
18	Amsterdam	9	52.36	4.877	2158372	19
19	Barcelona	10	41.387	2.169	1673075	21
20	Madrid	10	40.415	-3.709	7061748	23
21	Montreal	11	45.501	-73.562	3635571	25
22	Toronto	11	43.638	-79.406	5555912	27
23	Vancouver	11	49.248	-123.109	2524113	29
24	Atlanta	12	33.757	-84.354	5278904	31
25	Boston	12	42.3612	-71.5	3406829	33
26	Chicago	12	41.867	-87.639	9785747	35
27	Houston	12	29.766	-95.39	5628101	37
28	Los Angeles	12	34.027	-118.264	9948081	39
29	New York	12	40.785	-73.9639	19306183	41
30	Seattle	12	47.585	-122.35	3263497	43
31	Sheridan	12	44.787	-106.959	15804	45
32	Brasilia	13	-15.779	-47.932	2455903	47
33	Rio De Janeiro	13	-22.894	-43.228	7145472	49
34	Sao Paolo	13	-23.544	-46.635	11150249	51
35	Santiago	14	-31.428	-70.562	7200000	53
