16	52.412	27	15	2019-01-01	32.406	64.21	63.07	11	SKU-101	41.565	13	28
5	59.521	1	11	2019-01-01	90.995	75.47	84.50	11	SKU-101	106.290	22	20
29	92.430	26	2	2019-01-01	91.497	1.53	96.36	27	SKU-192	19.733	27	7
30	39.831	9	28	2019-01-01	17.217	22.26	90.58	14	SKU-195	83.017	27	17
8	47.128	2	8	2019-01-01	72.664	49.09	39.77	20	SKU-199	16.075	4	25
18	73.213	18	22	2019-01-01	24.021	59.31	50.86	9	SKU-203	67.561	5	5
8	63.706	14	18	2019-01-01	19.988	101.90	22.02	5	SKU-101	97.252	4	20
9	91.946	15	17	2019-01-02	104.208	50.39	86.57	5	SKU-192	45.437	18	19
2	38.737	19	13	2019-01-02	20.709	75.96	66.15	7	SKU-204	14.898	23	19
8	59.296	1	7	2019-01-02	61.238	6.96	69.27	8	SKU-222	13.546	30	24
17	6.366	16	17	2019-01-02	98.258	33.71	39.14	18	SKU-223	38.606	9	19
21	97.814	23	15	2019-01-02	67.950	34.60	3.08	14	SKU-2231	16.339	17	29
28	78.657	17	2	2019-01-02	87.754	27.18	9.03	7	SKU-2048	84.002	16	12
11	37.238	29	3	2019-01-02	2.665	43.26	5.44	9	SKU-2233	24.181	16	24
30	69.143	13	4	2019-01-03	100.393	63.87	107.24	10	SKU-2041	49.657	6	15
22	102.663	14	5	2019-01-03	60.334	5.69	21.71	19	SKU-2044	31.067	26	15
4	60.288	4	2	2019-01-03	91.337	20.07	24.65	28	SKU-2042	6.664	30	26
2	92.665	15	11	2019-01-03	1.190	62.50	82.04	10	SKU-2235	106.983	29	6
29	33.370	4	13	2019-01-03	1.102	59.69	95.09	3	SKU-287	48.726	15	17
6	5.735	14	6	2019-01-03	13.515	52.76	56.38	18	SKU-2238	54.127	16	27
26	87.670	10	16	2019-01-03	97.508	32.24	54.37	20	SKU-2231	60.395	30	17
2	97.022	1	23	2019-01-04	40.248	72.95	55.34	9	SKU-2047	24.031	13	3
18	22.740	30	28	2019-01-04	23.904	106.84	102.77	8	SKU-2231	93.945	26	12
5	76.684	4	7	2019-01-04	85.967	1.25	65.31	28	SKU-287	92.920	18	29
18	108.618	22	14	2019-01-04	4.775	41.96	33.88	13	SKU-204	40.558	19	8
2	86.382	1	6	2019-01-04	104.182	9.35	56.43	27	SKU-2235	67.579	30	7
2	81.176	6	10	2019-01-04	86.074	12.41	82.68	27	SKU-204	95.339	23	25
18	37.465	30	1	2019-01-04	3.955	50.63	71.34	1	SKU-2237	88.008	25	29
24	4.821	3	29	2019-01-05	59.678	63.94	16.48	21	SKU-2041	38.387	2	10
21	15.693	18	25	2019-01-05	102.459	106.01	61.55	17	SKU-2230	21.696	5	24
14	36.536	15	11	2019-01-05	22.081	90.51	84.44	15	SKU-2045	1.062	4	12
17	16.398	22	29	2019-01-05	40.390	91.03	86.35	2	SKU-2239	41.719	21	30
8	4.761	23	10	2019-01-05	29.763	54.27	12.44	26	SKU-2235	60.376	25	5
20	52.016	21	26	2019-01-05	44.781	88.85	86.45	1	SKU-2047	15.917	15	29
18	5.982	1	16	2019-01-05	21.584	96.74	29.12	21	SKU-2233	82.230	25	27
